epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,3704.05,0.58745,0.39681,1.01761,0.97036,0.97603,0.98753,0.85562,0.59182,0.37338,1.00504,0.00111689,0.00111689,0.00111689
102,3739.45,0.62856,0.4025,1.05271,0.97992,0.96038,0.98676,0.85726,0.60275,0.40946,1.02087,0.00111139,0.00111139,0.00111139
103,3774.52,0.62104,0.39494,1.01978,0.96896,0.97829,0.98866,0.86378,0.58364,0.36997,0.99731,0.00110589,0.00110589,0.00110589
104,3809.69,0.59304,0.39051,1.01697,0.98859,0.96267,0.98865,0.86499,0.5902,0.36624,0.99387,0.00110039,0.00110039,0.00110039
105,3844.56,0.59329,0.39181,0.99752,0.98868,0.96544,0.98812,0.86421,0.58306,0.35923,0.99599,0.00109489,0.00109489,0.00109489
106,3880.37,0.58697,0.40048,0.99981,0.99358,0.94362,0.99125,0.87209,0.57149,0.3616,0.9961,0.00108938,0.00108938,0.00108938
107,3915.46,0.57807,0.38242,1.01189,0.98686,0.97917,0.98685,0.85426,0.59614,0.37233,1.01536,0.00108388,0.00108388,0.00108388
108,3951.53,0.59607,0.39975,1.02516,0.98292,0.97999,0.98967,0.85777,0.56991,0.36001,0.99278,0.00107838,0.00107838,0.00107838
109,3986.58,0.56283,0.38187,1.00838,1,0.97512,0.98903,0.86106,0.55781,0.35636,0.97412,0.00107288,0.00107288,0.00107288
110,4023.82,0.54738,0.37163,1.00456,0.97836,0.97181,0.9879,0.87134,0.54918,0.36279,0.96971,0.00106738,0.00106738,0.00106738
111,4059.59,0.5857,0.38181,0.99289,0.97988,0.97818,0.98928,0.862,0.55642,0.35167,0.97918,0.00106188,0.00106188,0.00106188
112,4100.38,0.57676,0.38691,1.0143,0.98371,0.95455,0.98748,0.86191,0.57751,0.36678,1.00255,0.00105638,0.00105638,0.00105638
113,4134.8,0.5641,0.38093,0.98621,0.99492,0.96982,0.98711,0.87112,0.53458,0.35075,0.97206,0.00105088,0.00105088,0.00105088
114,4169.5,0.56598,0.37782,0.99774,0.9964,0.97083,0.98365,0.85154,0.56456,0.35713,0.98376,0.00104538,0.00104538,0.00104538
115,4204.97,0.57296,0.38082,1.01455,0.97776,0.97917,0.98764,0.85874,0.54456,0.36133,0.98011,0.00103987,0.00103987,0.00103987
116,4239.75,0.56254,0.37185,1.00405,0.97528,0.98067,0.98835,0.86025,0.56652,0.3549,0.98572,0.00103437,0.00103437,0.00103437
117,4274.1,0.58465,0.38345,1.01117,0.98199,0.975,0.9935,0.87052,0.5634,0.34585,0.98892,0.00102887,0.00102887,0.00102887
118,4308.5,0.56549,0.3751,1.00522,0.9791,0.98217,0.98971,0.8681,0.53995,0.33908,0.97037,0.00102337,0.00102337,0.00102337
119,4342.78,0.57361,0.36632,0.99776,0.9723,0.98333,0.98919,0.86746,0.55681,0.35887,0.97741,0.00101787,0.00101787,0.00101787
120,4377.77,0.55319,0.36397,0.99335,0.99417,0.97536,0.98875,0.86824,0.56733,0.34829,0.9707,0.00101237,0.00101237,0.00101237
121,4413.86,0.55107,0.36811,0.98533,0.96552,0.975,0.98901,0.85677,0.56321,0.34981,0.98002,0.00100687,0.00100687,0.00100687
122,4451.02,0.55681,0.36662,1.00097,0.98407,0.98061,0.98935,0.87259,0.53876,0.35141,0.96418,0.00100137,0.00100137,0.00100137
123,4486.22,0.55169,0.37095,0.98482,0.98924,0.975,0.98904,0.86999,0.53576,0.34945,0.98106,0.000995866,0.000995866,0.000995866
124,4522.46,0.54005,0.35565,0.99772,0.98219,0.97024,0.98887,0.87621,0.52322,0.33981,0.9696,0.000990365,0.000990365,0.000990365
125,4557.95,0.56005,0.37719,0.99904,0.97976,0.97662,0.98899,0.86546,0.53592,0.34064,0.96575,0.000984864,0.000984864,0.000984864
126,4593.91,0.56619,0.35599,0.99312,0.98333,0.97083,0.99202,0.87339,0.52982,0.33414,0.96833,0.000979362,0.000979362,0.000979362
127,4628.72,0.52695,0.34766,0.97829,0.97922,0.97502,0.9929,0.86123,0.54555,0.33933,0.97145,0.000973861,0.000973861,0.000973861
128,4664.58,0.54847,0.3586,0.99846,0.98591,0.98333,0.99257,0.85956,0.55416,0.33184,0.98195,0.00096836,0.00096836,0.00096836
129,4700.38,0.55941,0.36216,0.98559,0.98445,0.97328,0.98883,0.85826,0.55289,0.34781,0.97566,0.000962859,0.000962859,0.000962859
130,4735.34,0.54474,0.35793,0.97524,0.98363,0.97083,0.98873,0.86844,0.53139,0.35094,0.9671,0.000957358,0.000957358,0.000957358
131,4770.51,0.5443,0.35231,0.99743,0.98016,0.97632,0.9898,0.86057,0.54757,0.34947,0.9723,0.000951857,0.000951857,0.000951857
